	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
300	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
301	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
302	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
303	(7594) 32799+ (9600)	7594	9600	32799	7594	9600	32799	Full	SinglePathFull
304	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
305	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
306	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
307	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
308	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
309	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
310	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
311	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
312	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
313	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
314	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
315	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
316	(73) 27465+ (546)	73	546	27465	73	546	27465	Full	SinglePathFull
317	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
318	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
319	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
320	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
321	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
322	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
323	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
324	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
325	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
326	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
327	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
328	(13889) 1851- (14308)	13889	14308	1851	13889	14308	1851	Full	SinglePathFull
329	(13889) 1851- (14308)	13889	14308	1851	13889	14308	1851	Full	SinglePathFull
330	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
331	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
332	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
333	(18) 5151- (884)	18	884	5151	18	884	5151	Full	SinglePathFull
334	(18) 5151- (884)	18	884	5151	18	884	5151	Full	SinglePathFull
335	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
336	(1560) 7593+ (2384)	1560	2384	7593	1560	2384	7593	Full	SinglePathFull
337	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
338	(367) 5965+, 5967+ (997)	367	997	5965, 5967	0	0	0	Different	Different
